pid,label,localisation,latitude,longitude,country,city,inventory,juz,sura_number,sura_title_arabic,sura_title_english,verse_recto,verse_verso,bibliography,link,comments,acquisition,latest_acquisition_date,price,provenance,order,layout,collection,thumbnail,full,manifest
f072,"Blue Qur'an, Sura al-Imran, 91-96, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,4,3,al-Imran,The House of Imran,91,96,"Sotheby's, 15 October 1984, lot 22
George 2009","","",Purchased,1984,Unknown,"Sotheby's, 15 October 1984, lot 22",028,qatar_item,bluequran,/img/derivatives/simple/f072/thumbnail.jpg,/img/derivatives/simple/f072/fullwidth.jpg,""
f077,"Blue Qur'an, Sura Al-Imran, 127-137, Hamid Jafar Qur’an Collection",Hamid Jafar Qur’an Collection,25.3461555,55.4210932,United Arab Emirates,Sharjah,Unknown,4,3,Al-Imran,The House of Imran,127,137,"Sotheby's, 22 May 1986, lot 243
George 2009
Sharjah exhibition catalogue 2023",https://drive.google.com/drive/u/0/folders/1AQ1W2karcfkX6HUNdsfi-OIKz1BIsgUa,"",Purchased,1986,Unknown,"Sotheby's, 22 May 1986, lot 243",029,qatar_item,bluequran,/img/derivatives/simple/f077_f077_r/thumbnail.jpg,/img/derivatives/simple/f077_f077_r/fullwidth.jpg,/img/derivatives/iiif/f077/manifest.json
f083,"Blue Qur'an, Sura Al-Imran, 170-174, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,4,3,Al-Imran,The House of Imran,170,174,"Sotheby's, 22 October 1993, lot 32
George 2009","","",Purchased,1993,Unknown,"Sotheby's, 22 October 1993, lot 32",030,qatar_item,bluequran,/img/derivatives/simple/f083/thumbnail.jpg,/img/derivatives/simple/f083/fullwidth.jpg,""
f084,"Blue Qur'an, Sura Al-Imran, 174-181, Hamid Jafar Qur’an Collection",Hamid Jafar Qur’an Collection,25.3461555,55.4210932,United Arab Emirates,Sharjah,Unknown,4,3,Al-Imran,The House of Imran,174,181,Sharjah exhibition catalogue 2023,"",Bifolio,Purchased,"",Unknown,"",031,qatar_item,bluequran,/img/derivatives/simple/f084_f084_v/thumbnail.jpg,/img/derivatives/simple/f084_f084_v/fullwidth.jpg,/img/derivatives/iiif/f084/manifest.json
f086,"Blue Qur'an, Sura Al-Imran, 185-188, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,4,3,Al-Imran,The House of Imran,185,188,"Sotheby's (Geneva), 25 June 1985, Lot 1
George 2009","","",Purchased,1985,Unknown,"Sotheby's (Geneva), 25 June 1985, Lot 1",032,qatar_item,bluequran,/img/derivatives/simple/f086/thumbnail.jpg,/img/derivatives/simple/f086/fullwidth.jpg,""
f087,"Blue Qur'an, Sura Al-Imran, 188-192, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,4,3,Al-Imran,The House of Imran,188,192,"Sotheby's, 12 October 2000, lot 5
George 2009","","",Purchased,2000,Unknown,"Sotheby's, 12 October 2000, lot 5",033,qatar_item,bluequran,/img/derivatives/simple/f087/thumbnail.jpg,/img/derivatives/simple/f087/fullwidth.jpg,""
f089,"Blue Qur'an, Sura Al-Imran
al-Nisā’, 195-200
1-2, Hamid Jafar Qur’an Collection",Hamid Jafar Qur’an Collection,25.3461555,55.4210932,United Arab Emirates,Sharjah,Unknown,4,"3
4","Al-Imran
al-Nisā’","The House of Imran
The Women",195,"200
1-2","","",Bifolio,"","",Unknown,"",034,qatar_item,bluequran,/img/derivatives/simple/f089_f089_r/thumbnail.jpg,/img/derivatives/simple/f089_f089_r/fullwidth.jpg,/img/derivatives/iiif/f089/manifest.json
f091,"Blue Qur'an, Sura al-Nisā’, 8-12, Institut du monde arabe",Institut du monde arabe,48.8489257,2.3572313,France,Paris,AI 84-09,4,4,al-Nisā’,The Women,8,12,"Guesdon and Vernay Nouri2001:no.
George 2009",https://altair.imarabe.org//notice.php?q=id:125175&lang=fr,"Sourate IV ""Les femmes"", versets 8-12 ",Purchased,"",Unknown,"",035,qatar_item,bluequran,/img/derivatives/simple/f091_f091_r/thumbnail.jpg,/img/derivatives/simple/f091_f091_r/fullwidth.jpg,/img/derivatives/iiif/f091/manifest.json
f092,"Blue Qur'an, Sura al-Nisā’, 12-17, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,4,4,al-Nisā’,The Women,12,17,"Christie's 2012
Sotheby's 2015",https://www.sothebys.com/en/auctions/ecatalogue/2015/arts-islamic-world-l15220/lot.62.html,"Qur'an IV, sura al-nisa', vv. 12 (middle) - 17 (middle),
https://www.christies.com/lot/lot-5551207",Purchased,2015,"GBP 365,000","Christie's 2012
Sotheby's 2015",036,qatar_item,bluequran,/img/derivatives/simple/f092_f092_r/thumbnail.jpg,/img/derivatives/simple/f092_f092_r/fullwidth.jpg,/img/derivatives/iiif/f092/manifest.json
f094,"Blue Qur'an, Sura al-Nisā’, 19-23, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,4,4,al-Nisā’,The Women,19,23,"Sotheby's, 15 October 1998, lot 7
George 2009","","",Purchased,1998,Unknown,"Sotheby's, 15 October 1998, lot 7",037,qatar_item,bluequran,/img/derivatives/simple/f094/thumbnail.jpg,/img/derivatives/simple/f094/fullwidth.jpg,""
